ISIN,Industry,ESG SCORE,ENVIRONMENTAL SCORE,SOCIAL SCORE,GOVERNANCE SCORE,ESG Score Range,Mean ESG,ESG Classification,E Classification,S Classification,G Classification
JP3701200002,Semiconductors,3.2962023562519995,2.43778809308,2.7300000000000004,5.0069570634,3-4,3.7648174326937798,Below Median,Below Median,Leading,Leading
NO0003055501,Semiconductors,5.951576994054,6.52478346819,4.36287883774,6.77599985152,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
IL0010845571,Semiconductors,3.209404803724,2.4909420191200002,1.9500000000000002,5.42675998692,3-4,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0003034005,Semiconductors,6.461307321127999,6.50347674368,7.36387130256,5.5025174429599994,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
TW0004919006,Semiconductors,5.429787837968,4.33703026757,7.1416542816,5.1749314881999995,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
US6294452064,Semiconductors,2.413686718584,0.0,1.5885238159200001,6.45709857936,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
US67066G1040,Semiconductors,5.980917457574,6.903427162250001,4.0571916769800005,6.6746302986,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
NL0009538784,Semiconductors,6.15210882585,4.52853321099,7.26698246014,7.2020026780399995,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
JP3193600008,Semiconductors,2.009061492288,0.04451147883,1.9500000000000002,4.68752300252,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US6821891057,Semiconductors,6.254632736115999,4.51861463083,7.0469098279999995,7.77704645128,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
US6833441057,Semiconductors,2.965202236212,0.24,1.9500000000000002,7.614007454039999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0002329000,Semiconductors,5.109768413564,4.41665847308,5.67314863188,5.47053478256,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
JP3200400004,Semiconductors,2.0223786382439997,0.28451147883,1.5885238159200001,4.77338967312,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
DE000LED4000,Semiconductors,5.84114243127,5.184980230320001,5.663191318539999,6.8939764786,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
US68989M2026,Semiconductors,2.384196991008,0.0,1.3800000000000001,6.56732330336,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0002481009,Semiconductors,4.3827643814399995,5.3217929030099995,2.7300000000000004,4.78349073412,4-5,3.7648174326937798,Leading,Above Median,Leading,Leading
US7013543001,Semiconductors,1.4916449944199999,0.0,0.20852381592000002,4.76362616548,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US71360T2006,Semiconductors,2.5191370754160003,0.0,1.6500000000000001,6.747123584720001,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0008299009,Semiconductors,5.642561275552,6.092119750989999,5.19148780816,5.49422344236,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
US7194051022,Semiconductors,2.73353082276,0.0,2.7300000000000004,6.3817694092,2-3,3.7648174326937798,Below Median,Below Median,Leading,Above Median
CNE100005998,Semiconductors,3.362444272276,3.92811797059,1.28852381592,4.6821331308800005,3-4,3.7648174326937798,Below Median,Above Median,Below Median,Leading
US72581M3051,Semiconductors,2.8839072017759997,0.0,1.6500000000000001,7.9630240059199995,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
US7392761034,Semiconductors,4.006295828363999,3.5425636194,1.5885238159200001,7.042377452759999,4-5,3.7648174326937798,Leading,Above Median,Below Median,Above Median
TW0006770001,Semiconductors,5.108413311012,3.6549105716699994,7.75457626336,4.4002540111199995,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Below Median
TW0006239007,Semiconductors,4.638989350408,3.74331597814,5.64125019076,4.83095967308,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0006173008,Semiconductors,4.125875294608,2.3643484042600003,5.7485241316,4.85192897808,4-5,3.7648174326937798,Leading,Below Median,Above Median,Leading
DE0007461006,Semiconductors,3.469519993816,2.6044470930099997,3.7418412017600007,4.3506293202799995,3-4,3.7648174326937798,Below Median,Leading,Above Median,Below Median
US74736K1016,Semiconductors,5.2202045222399995,4.512035570309999,3.79061959276,7.594014720960001,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
US7475251036,Semiconductors,7.808379472722001,7.46183449752,8.14501993186,7.933798980520001,7-8,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
US74837P4054,Semiconductors,2.2068960424800004,0.0,0.20852381592000002,7.147796325680001,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
US7509171069,Semiconductors,3.513768008272,2.12567761189,1.6500000000000001,7.22832321172,3-4,3.7648174326937798,Leading,Below Median,Below Median,Above Median
TW0002379005,Semiconductors,6.742791388532,6.563847517939999,8.399999999999999,5.32417460452,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0002302007,Semiconductors,2.0925680656799996,0.04451147883,1.28852381592,5.62735443124,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
JP3164720009,Semiconductors,5.195079984688,5.2551227571400005,3.5050595092800005,6.80504343016,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
US7631651079,Semiconductors,2.49089285082,0.0,1.6500000000000001,6.6529761694000005,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0004968003,Semiconductors,5.762072737692,5.774209659029999,6.65725029952,4.85071261408,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0008104001,Semiconductors,3.424876495356,0.9445114788299999,4.88852381592,5.26838253016,3-4,3.7648174326937798,Below Median,Below Median,Above Median,Leading
ES0105225009,Semiconductors,0.6697712825759999,0.04451147883,0.0,2.17322230348,0-1,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
CNE100003RK2,Semiconductors,1.388522417988,0.0,0.0,4.62840805996,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
JP3982800009,Semiconductors,4.896214429884,4.5807177735,4.75924766544,5.45384340284,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
JP3982200002,Semiconductors,2.024587014112,1.47224563114,0.0,4.785629205519999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
JP3976200000,Semiconductors,4.211255020952,5.77951967219,1.08,5.25149050692,4-5,3.7648174326937798,Leading,Above Median,Below Median,Leading
JP3975410006,Semiconductors,3.4141145083640003,3.34139438639,2.20805285336,4.717136326,3-4,3.7648174326937798,Below Median,Leading,Below Median,Leading
JP3322950001,Semiconductors,1.538070401592,0.28451147883,0.0,4.7475527002,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
CNE000000KB3,Semiconductors,1.908408344592,0.04451147883,1.08,5.2220125102,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
JP3329600005,Semiconductors,3.562194502804,3.41019121183,2.7300000000000004,4.59706006024,3-4,3.7648174326937798,Leading,Leading,Leading,Leading
DE0005156236,Semiconductors,3.0643665069719996,1.5145114788299998,2.07892590524,6.116280479559999,3-4,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0003583001,Semiconductors,4.385048505747999,4.13975963581,3.55630601888,5.5408428192,4-5,3.7648174326937798,Leading,Above Median,Above Median,Above Median
JP3494600004,Semiconductors,5.236444081774,6.47381993752,3.6704030228600004,5.15265066636,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0002351004,Semiconductors,4.733096394606,3.73020041241,4.923164920820001,5.8802225113199995,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
JP3418400002,Semiconductors,2.066726946504,0.0,2.36852381592,4.52056600576,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US8168501018,Semiconductors,3.9249069213360004,3.37462124349,1.6500000000000001,6.9335280798,3-4,3.7648174326937798,Leading,Leading,Below Median,Above Median
CH0406705126,Semiconductors,4.647910475772,3.99001659633,2.86594121932,7.30707157148,4-5,3.7648174326937798,Above Median,Above Median,Leading,Above Median
KR7046890000,Semiconductors,2.5787676108359996,1.27451147883,1.9500000000000002,4.946543397679999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US8173232070,Semiconductors,1.5051490202399997,0.0,0.0,5.0171634007999995,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
CNE100002NT4,Semiconductors,4.188809388492,4.210073373929999,2.7300000000000004,5.6192667964,4-5,3.7648174326937798,Leading,Above Median,Leading,Above Median
CNE000000XB6,Semiconductors,4.1520666360359995,4.4205598640999995,2.38708801264,5.55905428868,4-5,3.7648174326937798,Leading,Above Median,Below Median,Above Median
CNE100000510,Semiconductors,3.863504729362,3.3529602697299996,3.4045270158200003,5.00320838908,3-4,3.7648174326937798,Leading,Leading,Leading,Leading
CNE100002G84,Semiconductors,1.60271897508,0.24,0.0,5.0223965836,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
CNE100000Q50,Semiconductors,1.6368696670560001,0.33,0.0,5.01623222352,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
JP3355000005,Semiconductors,3.6222106864079997,3.86462364207,1.5885238159200001,5.332680282679999,3-4,3.7648174326937798,Leading,Above Median,Below Median,Leading
JP3371600002,Semiconductors,3.62002982902,3.70075042714,2.7300000000000004,4.40243219388,3-4,3.7648174326937798,Leading,Above Median,Leading,Below Median
JP3375800004,Semiconductors,4.349215077356,4.71529322618,3.28,4.930325956279999,4-5,3.7648174326937798,Leading,Above Median,Leading,Leading
KYG811801045,Semiconductors,2.626483324312,1.5309785158899998,2.7300000000000004,3.98363972652,2-3,3.7648174326937798,Below Median,Below Median,Leading,Below Median
TW0006257009,Semiconductors,3.6411753769999997,4.03049993516,2.7300000000000004,4.03325134312,3-4,3.7648174326937798,Leading,Above Median,Leading,Below Median
TW0002363009,Semiconductors,2.8491085676520003,1.39773887013,1.6500000000000001,5.983376732,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
US8269191024,Semiconductors,5.16936172776,6.35880638838,2.40918037408,6.34361686728,5-6,3.7648174326937798,Above Median,Above Median,Below Median,Above Median
US82706C1080,Semiconductors,1.505703624204,0.9445114788299999,1.5885238159200001,2.17113962632,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
TW0003530002,Semiconductors,2.0016609440879995,0.04451147883,1.28852381592,5.324330692599999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0003288007,Semiconductors,1.74861304632,0.0,1.28852381592,4.54018633848,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
DE000WAF3001,Semiconductors,4.70571788019,4.43319046974,4.04233928686,5.73246635412,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
TW0005483002,Semiconductors,3.8234780994279993,2.4763796222799996,4.46518642432,4.977901077399999,3-4,3.7648174326937798,Leading,Below Median,Above Median,Leading
US82982T1060,Semiconductors,2.7879273261839996,1.23,1.9500000000000002,5.70309108728,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0008016007,Semiconductors,5.726222868971999,5.33108021013,7.24102233888,4.7382802775199995,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
KR7000660001,Semiconductors,5.3971918144819995,4.592610640549999,5.25165321362,6.61550531392,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
JP3162640001,Semiconductors,2.056396848084,0.37451147883,1.6500000000000001,4.70530752184,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US83089J1088,Semiconductors,2.2524534243959997,0.0,1.08,6.42817808132,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
US83088M1027,Semiconductors,5.807930150602,4.29029954911,5.85114255774,7.78822521212,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
KYG8232Y1017,Semiconductors,5.708741787001999,4.70253260129,6.19040302286,6.56869279876,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
KYG8020E1199,Semiconductors,3.1956081295240004,2.48347087861,2.2364705657600004,5.104262027840001,3-4,3.7648174326937798,Below Median,Below Median,Below Median,Leading
DE0005178008,Semiconductors,1.3060659742679999,0.0,0.0,4.35355324756,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
FR0013227113,Semiconductors,4.478167070175999,4.322207329449999,2.22505999448,6.93922046684,4-5,3.7648174326937798,Leading,Above Median,Below Median,Above Median
TW0005471007,Semiconductors,4.52698470284,3.78868086839,4.88852381592,5.149850702359999,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0003055000,Semiconductors,3.6230601488280003,3.74710506918,1.28852381592,5.7922032546,3-4,3.7648174326937798,Leading,Above Median,Below Median,Above Median
CNE100003RN6,Semiconductors,1.81770709926,0.28451147883,0.0,5.67967502576,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
NL0000226223,Semiconductors,7.022264516873999,6.32453071098,6.5073085404599995,8.46753223448,7-8,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
DE000A1K0235,Semiconductors,4.8436528777620005,5.25311721798,3.70241283422,5.43894046768,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
JP3322930003,Semiconductors,4.385611230026,3.7513173151999997,4.79175975806,4.8251879217599996,4-5,3.7648174326937798,Leading,Above Median,Above Median,Leading
TW0002401007,Semiconductors,2.0840441971440002,1.18451147883,1.28852381592,4.07894153612,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
CNE000001P60,Semiconductors,2.604032949492,1.27451147883,1.28852381592,5.69223737728,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
US87157D1090,Semiconductors,3.9272334767599997,3.42854454527,1.9500000000000002,6.569385528839999,3-4,3.7648174326937798,Leading,Leading,Below Median,Above Median
TW0001582005,Semiconductors,4.071148867672,5.20387079017,1.08,5.552001838680001,4-5,3.7648174326937798,Leading,Above Median,Below Median,Above Median
TW0002338001,Semiconductors,3.266270354888,2.8443447421099997,1.28852381592,5.80658437756,3-4,3.7648174326937798,Below Median,Leading,Below Median,Above Median
TW0006278005,Semiconductors,4.3567691774532005,4.38227357631,4.060000000004,4.61953248976,4-5,3.7648174326937798,Leading,Above Median,Above Median,Leading
TW0002340007,Semiconductors,4.7882886248,3.10415490878,6.08158159256,5.7405072784,4-5,3.7648174326937798,Above Median,Leading,Above Median,Above Median
JP3468000009,Semiconductors,2.7173768173359996,2.1901645946799997,0.98852381592,5.14917944896,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0004967005,Semiconductors,4.13824217094,5.18246822367,1.28852381592,5.59565912232,4-5,3.7648174326937798,Leading,Above Median,Below Median,Above Median
IT0005482333,Semiconductors,3.703796143478,4.10336837528,2.9866048051000003,3.8882245061199994,3-4,3.7648174326937798,Leading,Above Median,Leading,Below Median
US8807701029,Semiconductors,4.6501489048139995,3.39463209636,3.6704030228600004,7.30391719804,4-5,3.7648174326937798,Above Median,Leading,Above Median,Above Median
TW0003030003,Semiconductors,2.983365431256,0.9445114788299999,4.17,4.51520279908,2-3,3.7648174326937798,Below Median,Below Median,Above Median,Leading
US8825081040,Semiconductors,5.37034824663,4.84859946009,4.4107568742200005,7.02560466776,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
CNE100000825,Semiconductors,2.7471930049360003,1.6913853534999999,1.9500000000000002,4.95212954512,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
KR7064760002,Semiconductors,1.8594723987839994,0.0,1.6500000000000001,4.548241329279999,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
JP3571400005,Semiconductors,6.318874664438001,7.07559728162,4.58324512494,7.04554071436,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
JP3571800006,Semiconductors,4.347228428768,4.990401046280001,1.9500000000000002,5.88689336752,4-5,3.7648174326937798,Leading,Above Median,Below Median,Above Median
JP3580200008,Semiconductors,3.28459386576,1.5145114788299998,2.7300000000000004,6.19929758076,3-4,3.7648174326937798,Below Median,Below Median,Leading,Above Median
TW0006271000,Semiconductors,4.833708344512,4.47847938796,4.89586656564,5.24518873212,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
CNE1000006C3,Semiconductors,2.466973694184,0.9445114788299999,2.16,4.80389700884,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0008021007,Semiconductors,4.345514122896,3.89123168205,4.06,5.2367381669199995,4-5,3.7648174326937798,Leading,Above Median,Above Median,Leading
JP3637280003,Semiconductors,2.557742798432,0.83050861598,2.36852381592,5.04994069088,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
JP3555700008,Semiconductors,3.793154527292,4.21594080929,2.06852381592,4.954070196,3-4,3.7648174326937798,Leading,Above Median,Below Median,Leading
IL0010823792,Semiconductors,2.3525759983079997,0.0,1.9500000000000002,5.891919994359999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0002451002,Semiconductors,5.8245922255939995,5.8885724735,6.78636650094,4.77751095304,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0002330008,Semiconductors,5.01496584609,4.32320588355,5.38153285978,5.57074544912,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
TW0002426004,Semiconductors,4.035743358524,2.01844148147,4.95,5.81122255312,4-5,3.7648174326937798,Leading,Below Median,Above Median,Above Median
CH0033361673,Semiconductors,4.602325525156,3.69997950064,2.66286506656,7.744914016439999,4-5,3.7648174326937798,Above Median,Above Median,Leading,Above Median
US90385V1070,Semiconductors,2.7965216046,0.0,1.6500000000000001,7.671738682,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
JP3126190002,Semiconductors,4.025537584444,3.45539850721,2.7300000000000004,6.0812606052,4-5,3.7648174326937798,Leading,Leading,Leading,Above Median
TW0002303005,Semiconductors,4.604864275,3.50766912949,4.9082596586400005,5.7643957520399995,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
TW0008277005,Semiconductors,3.3392180436719996,0.9445114788299999,4.95,4.921378173799999,3-4,3.7648174326937798,Below Median,Below Median,Above Median,Leading
CNE000001M14,Semiconductors,4.260514290218,4.78002292493,2.5904030228600003,5.23794737796,4-5,3.7648174326937798,Leading,Above Median,Leading,Leading
KR7077500007,Semiconductors,1.94168769234,0.0,1.28852381592,5.1837684918799996,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
MYL5005OO003,Semiconductors,3.71531313521,3.3628352022500003,2.89040302286,5.010193824839999,3-4,3.7648174326937798,Leading,Leading,Leading,Leading
US91347P1057,Semiconductors,6.8016635532639995,5.52013787725,8.43182104128,6.8802069666,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
JP3829900004,Semiconductors,2.024230427424,0.0,1.28852381592,5.458910942159999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0005347009,Semiconductors,5.138890686953999,3.78096216411,6.8362842179,5.2520685198,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
US9224171002,Semiconductors,4.9750520006359995,4.94628858092,2.60424021608,7.384215011479999,4-5,3.7648174326937798,Above Median,Above Median,Leading,Above Median
CNE100004413,Semiconductors,4.930321327235999,3.72896227842,6.570817184479999,4.89163753508,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0002388006,Semiconductors,3.816853633776,4.8562499331,2.16,4.0878455351200005,3-4,3.7648174326937798,Leading,Above Median,Below Median,Below Median
TW0006789001,Semiconductors,4.602805524904,4.491809287030001,4.41034641264,4.943259620999999,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
US9282981086,Semiconductors,2.080769473992,0.0,1.9500000000000002,4.98589824664,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US92835K1034,Semiconductors,2.11014737568,0.0,1.28852381592,5.74530076968,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0002455003,Semiconductors,2.8953720570919996,1.52347385261,2.06852381592,5.55141790424,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0006182009,Semiconductors,3.205798423744,1.8980539417,2.7300000000000004,5.42525615688,3-4,3.7648174326937798,Below Median,Below Median,Leading,Leading
TW0008110008,Semiconductors,4.224186392686,3.0006283416099997,5.2576506085,4.822132911640001,4-5,3.7648174326937798,Leading,Leading,Above Median,Leading
TW0002436003,Semiconductors,2.1305217552,0.9445114788299999,1.28852381592,4.55386672964,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
CNE100002XM8,Semiconductors,4.73801916844,5.43884548408,3.1484614837600002,5.3931417656,4-5,3.7648174326937798,Above Median,Above Median,Leading,Leading
TW0003105003,Semiconductors,5.220207794216,4.38435527321,7.664660048519999,3.89022556792,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Below Median
TW0002344009,Semiconductors,5.487126465711999,5.50749901741,6.429146728479999,4.517942800679999,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
JP3154370005,Semiconductors,2.087724503472,0.0,1.6500000000000001,5.30908167824,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US9778521024,Semiconductors,4.518529494016,3.73191413404,2.36852381592,7.717355652079998,4-5,3.7648174326937798,Above Median,Above Median,Below Median,Above Median
KR7030530000,Semiconductors,0.0,0.0,0.0,0.0,0-1,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
KR7240810002,Semiconductors,3.364546275108,3.50225657934,1.9500000000000002,4.59547881124,3-4,3.7648174326937798,Below Median,Above Median,Below Median,Leading
BE0974310428,Semiconductors,3.91703318416,3.4823384382099998,2.9618412017600004,5.45181816116,3-4,3.7648174326937798,Leading,Leading,Leading,Leading
JP3990600003,Semiconductors,2.766934526024,2.60031657464,1.08,4.67602632056,2-3,3.7648174326937798,Below Median,Leading,Below Median,Leading
CNE100001R90,Semiconductors,3.2385199275720002,3.364563999,1.28852381592,5.02045727732,3-4,3.7648174326937798,Below Median,Leading,Below Median,Leading
CNE100001DJ8,Semiconductors,3.799497373656,3.74597954763,2.43,5.24035184868,3-4,3.7648174326937798,Leading,Above Median,Below Median,Leading
US29355A1079,Semiconductors,4.5904773426159995,4.9136419581999995,2.5043150711999997,6.2457534599199995,4-5,3.7648174326937798,Above Median,Above Median,Leading,Above Median
US3364331070,Semiconductors,4.511299415616,4.58101487169,2.26593406668,6.663710823119999,4-5,3.7648174326937798,Above Median,Above Median,Below Median,Above Median
US88160R1014,Automobiles,5.9900543614499995,6.025596022799999,5.3865373613,6.5461824798,5-6,2.934915373423,Above Median,Above Median,Above Median,Above Median
CNE100000296,Automobiles,3.660069796593,1.6525277079,5.19867093575,4.79819144236,3-4,2.934915373423,Above Median,Leading,Above Median,Leading
US50202M1027,Automobiles,3.9570122528250007,3.53265056625,4.697599792350001,3.7822402954000003,3-4,2.934915373423,Above Median,Above Median,Above Median,Below Median
US62914V1061,Automobiles,3.6965174607080002,4.22505850805,3.9694550514,2.71885847356,3-4,2.934915373423,Above Median,Above Median,Above Median,Below Median
US3453708600,Automobiles,6.011431822201001,6.5236334323,5.08728272915,6.252645435120001,6-7,2.934915373423,Above Median,Above Median,Above Median,Above Median
US98422D1054,Automobiles,3.973492016384,3.5982805253,3.5137006522000003,4.93356536868,3-4,2.934915373423,Above Median,Above Median,Above Median,Leading
US7311052010,Automobiles,3.494392892426,3.57856934075,1.0789967715000002,5.7975537489199995,3-4,2.934915373423,Leading,Above Median,Below Median,Above Median
CNE100005K77,Automobiles,3.759571553756,3.0308141114,2.5931051016,5.89771459572,3-4,2.934915373423,Above Median,Above Median,Above Median,Above Median
CNE100001TJ4,Automobiles,2.7579139022720005,1.59231208565,2.0323225498,5.037641010240001,2-3,2.934915373423,Leading,Leading,Leading,Leading
US5494981039,Automobiles,3.729736911808,0.25,4.8446324348,7.25449060456,3-4,2.934915373423,Above Median,Below Median,Above Median,Above Median
TH3545010003,Automobiles,2.67061283774,3.6644155977499997,0.0,4.0161553288,2-3,2.934915373423,Leading,Above Median,Below Median,Below Median
INE260D01016,Automobiles,1.8533987041319997,0.4968851805,0.21949875360000004,5.2959833528399995,1-2,2.934915373423,Below Median,Below Median,Below Median,Leading
US0395872098,Automobiles,2.359504069872,0.0,0.8944987536000001,6.97051481264,2-3,2.934915373423,Below Median,Below Median,Below Median,Above Median
US54405Q2093,Automobiles,1.979852766024,0.0,0.675,5.92450922008,1-2,2.934915373423,Below Median,Below Median,Below Median,Above Median
US3073597037,Automobiles,0.0,0.0,0.0,0.0,0-1,2.934915373423,Below Median,Below Median,Below Median,Below Median
CA35954F1080,Automobiles,0.0,0.0,0.0,0.0,0-1,2.934915373423,Below Median,Below Median,Below Median,Below Median
SGXZ55111462,Automobiles,0.0,0.0,0.0,0.0,0-1,2.934915373423,Below Median,Below Median,Below Median,Below Median
